candle_begin_time,open,high,low,close,volume,quote_volume
2021-11-06 14:15:00,60331.82,60400.1,60330.0,60339.98,77.2617,4661969.432766001
2021-11-06 14:20:00,60339.98,60406.58,60329.97,60406.58,44.71246,2700926.7919868003
2021-11-06 14:25:00,60406.57,60489.82,60405.29,60436.57,57.14846,3453856.9031822
2021-11-06 14:30:00,60436.58,60552.95,60385.5,60500.12,152.76732,9242441.1920784
2021-11-06 14:35:00,60500.12,60744.66,60483.42,60635.51,157.82388,9569731.453978801
2021-11-06 14:40:00,60635.51,60676.99,60550.0,60612.63,66.54212,4033292.8989755996
2021-11-06 14:45:00,60612.62,60717.2,60608.66,60705.49,112.29568,6816964.2792832
2021-11-06 14:50:00,60705.48,60719.25,60618.95,60652.0,72.07435,4371453.476199999
2021-11-06 14:55:00,60652.0,60669.99,60586.24,60600.31,76.19179,4617246.093454899
2021-11-06 15:00:00,60600.31,60635.69,60558.09,60626.75,51.4964,3122059.3687
2021-11-06 15:05:00,60626.76,60739.95,60626.75,60706.8,63.58526,3860057.661768
2021-11-06 15:10:00,60706.8,60720.0,60674.43,60700.12,56.18648,3410526.0783776003
2021-11-06 15:15:00,60700.12,60750.0,60650.51,60693.99,82.26019,4992699.1492580995
2021-11-06 15:20:00,60693.98,60756.84,60693.98,60710.89,80.40004,4881157.9844356
2021-11-06 15:25:00,60710.89,60715.41,60556.36,60608.02,155.19396,9405998.6315592
2021-11-06 15:30:00,60608.02,60677.75,60585.0,60635.01,75.46902,4576064.7823902005
2021-11-06 15:35:00,60635.0,60643.58,60528.6,60611.55,79.64,4827103.842
2021-11-06 15:40:00,60611.55,60723.51,60611.55,60723.5,50.93817,3093143.9659949997
2021-11-06 15:45:00,60723.5,60744.73,60691.54,60726.34,49.68171,3016988.4132414
2021-11-06 15:50:00,60726.33,60726.34,60670.8,60699.97,37.44339,2272812.6496983003
2021-11-06 15:55:00,60699.96,60699.99,60628.75,60648.59,53.91556,3269902.6930604
2021-11-06 16:00:00,60648.58,60754.82,60641.05,60687.08,78.77192,4780437.8107936
2021-11-06 16:05:00,60687.08,60691.74,60554.55,60632.29,78.46362,4757428.962289801
2021-11-06 16:10:00,60632.29,60839.8,60629.93,60753.6,149.96399,9110852.262864
2021-11-06 16:15:00,60753.59,60784.19,60590.88,60594.99,91.22747,5527927.6323753
2021-11-06 16:20:00,60594.99,60640.46,60543.67,60545.99,72.20602,4371784.9648597995
2021-11-06 16:25:00,60546.0,60601.89,60520.0,60594.87,56.94233,3450413.0838471
2021-11-06 16:30:00,60594.86,60658.16,60557.87,60574.37,49.79839,3016506.1012643
2021-11-06 16:35:00,60574.36,60592.38,60400.0,60458.51,131.12188,7927433.493198801
2021-11-06 16:40:00,60458.51,60527.42,60458.51,60499.16,53.88608,3260062.5756928003
2021-11-06 16:45:00,60499.17,60576.74,60492.26,60573.47,44.15225,2674454.9908075
2021-11-06 16:50:00,60573.47,60592.65,60514.01,60554.98,34.14549,2067679.4640402002
2021-11-06 16:55:00,60554.98,60644.03,60550.91,60625.06,41.63175,2523927.3416549996
2021-11-06 17:00:00,60625.06,60663.0,60596.26,60628.78,51.09848,3098038.5022544
2021-11-06 17:05:00,60628.78,60650.0,60605.73,60628.19,50.36859,3053756.4445521
2021-11-06 17:10:00,60626.56,60773.16,60623.04,60760.79,80.71832,4904508.8906728
2021-11-06 17:15:00,60760.78,60876.78,60715.39,60733.91,159.66261,9696934.5861051
2021-11-06 17:20:00,60733.91,60733.91,60673.3,60689.89,50.1132,3041364.5955479997
2021-11-06 17:25:00,60689.88,60704.32,60653.93,60664.65,47.9061,2906206.789365
2021-11-06 17:30:00,60664.66,60695.43,60641.8,60645.58,56.70024,3438618.9409392
2021-11-06 17:35:00,60647.07,60670.78,60612.43,60641.22,28.12625,1705610.114025
2021-11-06 17:40:00,60641.22,60650.0,60605.0,60628.01,43.11531,2613995.4458331
2021-11-06 17:45:00,60628.0,60648.46,60606.22,60627.65,54.58695,3309478.4991675
2021-11-06 17:50:00,60627.65,60720.99,60623.61,60691.66,41.98943,2548408.2091538003
2021-11-06 17:55:00,60691.66,60753.1,60683.1,60698.46,64.46292,3912799.9711031998
2021-11-06 18:00:00,60698.47,60735.99,60670.71,60724.35,44.95317,2729752.0286895
2021-11-06 18:05:00,60724.35,60807.93,60720.66,60800.42,35.0937,2133711.699354
2021-11-06 18:10:00,60800.43,60812.06,60728.27,60792.99,41.39425,2516480.2263074997
2021-11-06 18:15:00,60792.98,60810.49,60697.28,60720.0,61.89941,3758532.1752000004
2021-11-06 18:20:00,60720.01,60840.48,60673.71,60832.53,62.58173,3807004.9676769
2021-11-06 18:25:00,60832.53,60842.82,60736.16,60739.98,38.97695,2367459.163461
2021-11-06 18:30:00,60739.99,60824.91,60730.4,60806.05,41.96977,2552015.9331084997
2021-11-06 18:35:00,60806.04,60842.82,60761.87,60812.84,40.50295,2463099.4178779996
2021-11-06 18:40:00,60812.83,60841.53,60784.76,60804.15,44.24185,2690088.0836775
2021-11-06 18:45:00,60804.15,60805.27,60686.72,60723.66,84.81106,5150037.9716796
2021-11-06 18:50:00,60723.66,60771.85,60686.27,60766.61,47.69896,2898504.0997256
2021-11-06 18:55:00,60766.6,60766.61,60724.4,60757.61,31.94546,1940929.7999506001
2021-11-06 19:00:00,60757.62,60796.83,60741.25,60766.24,43.25984,2628737.8198015997
2021-11-06 19:05:00,60766.25,60900.0,60764.89,60899.99,86.56218,5271635.8963782
2021-11-06 19:10:00,60899.99,60923.81,60758.17,60778.99,134.98682,8204362.5829118
2021-11-06 19:15:00,60779.0,60808.69,60750.01,60791.0,46.49433,2826436.8150299997
2021-11-06 19:20:00,60791.0,60848.96,60774.0,60807.85,59.34389,3608574.3615365
2021-11-06 19:25:00,60807.85,60879.88,60801.55,60863.87,49.18191,2993401.3765917
2021-11-06 19:30:00,60863.86,60894.32,60821.59,60821.6,49.26768,2996539.125888
2021-11-06 19:35:00,60821.6,60845.03,60803.72,60835.02,32.8038,1995619.829076
2021-11-06 19:40:00,60835.03,61001.0,60835.02,61001.0,106.60595,6503069.555950001
2021-11-06 19:45:00,61000.99,61085.02,60962.03,61085.01,89.62918,5474999.3565918
2021-11-06 19:50:00,61085.02,61184.92,61050.0,61134.66,172.20391,10527627.488520602
2021-11-06 19:55:00,61132.35,61186.08,61129.0,61175.4,71.67025,4384456.21185
2021-11-06 20:00:00,61175.41,61277.23,61145.4,61193.41,163.88457,10028655.684683701
2021-11-06 20:05:00,61193.41,61198.03,61099.01,61146.38,97.2224,5944797.814912
